CDTL,1,1,5060,12/30/99,10/22/14 3:18 PM,1,1,1020,0,0,1,4.79,1,4.79,210,,,0,GL_VA-20_102214.txt,VA-20,NULL,VA-20||5060||Oct 22 2014 12:00AM||Oct 22 2014  3:18PM
CDTL,1,1,5060,12/30/99,10/22/14 3:18 PM,1,1,6207,0,0,1,0.75,1,0.75,210,,,0,GL_VA-20_102214.txt,VA-20,NULL,VA-20||5060||Oct 22 2014 12:00AM||Oct 22 2014  3:18PM
CDTL,1,1,5061,12/30/99,10/22/14 3:25 PM,1,1,1005,0,0,1,4.79,1,4.79,210,,,0,GL_VA-20_102214.txt,VA-20,NULL,VA-20||5061||Oct 22 2014 12:00AM||Oct 22 2014  3:25PM
CDTL,1,1,5061,12/30/99,10/22/14 3:25 PM,1,1,4007,0,0,1,4.99,1,4.99,210,,,0,GL_VA-20_102214.txt,VA-20,NULL,VA-20||5061||Oct 22 2014 12:00AM||Oct 22 2014  3:25PM
CDTL,1,2,5062,12/30/99,10/22/14 3:26 PM,1,1,4503,0,0,1,4.79,1,4.79,210,,,0,GL_VA-20_102214.txt,VA-20,NULL,VA-20||5062||Oct 22 2014 12:00AM||Oct 22 2014  3:26PM
CDTL,1,1,5057,12/30/99,10/22/14 3:01 PM,1,1,2006,0,0,1,4.99,1,4.99,210,,,0,GL_VA-20_102214.txt,VA-20,NULL,VA-20||5057||Oct 22 2014 12:00AM||Oct 22 2014  3:01PM
CDTL,1,2,5085,12/30/99,10/22/14 5:49 PM,1,1,100006,0,0,1,5.99,1,5.99,219,,,0,GL_VA-20_102214.txt,VA-20,NULL,VA-20||5085||Oct 22 2014 12:00AM||Oct 22 2014  5:49PM
CDTL,1,2,5086,12/30/99,10/22/14 5:51 PM,1,1,9000003,0,0,1,1.58,1,1.58,219,B12 AND PRO,,0,GL_VA-20_102214.txt,VA-20,NULL,VA-20||5086||Oct 22 2014 12:00AM||Oct 22 2014  5:51PM
CDTL,1,1,5076,12/30/99,10/22/14 5:01 PM,1,1,4003,0,0,1,4.99,1,4.99,219,,,0,GL_VA-20_102214.txt,VA-20,NULL,VA-20||5076||Oct 22 2014 12:00AM||Oct 22 2014  5:01PM
CDTL,1,2,5077,12/30/99,10/22/14 5:04 PM,1,1,1005,0,0,1,4.79,1,4.79,219,,,0,GL_VA-20_102214.txt,VA-20,NULL,VA-20||5077||Oct 22 2014 12:00AM||Oct 22 2014  5:04PM
CDTL,1,2,5078,12/30/99,10/22/14 5:08 PM,1,1,102003,0,0,1,6.29,1,6.29,219,,,0,GL_VA-20_102214.txt,VA-20,NULL,VA-20||5078||Oct 22 2014 12:00AM||Oct 22 2014  5:08PM
CDTL,1,2,5078,12/30/99,10/22/14 5:08 PM,1,1,5105,0,0,1,4,1,4,219,,,0,GL_VA-20_102214.txt,VA-20,NULL,VA-20||5078||Oct 22 2014 12:00AM||Oct 22 2014  5:08PM
CDTL,1,2,5079,12/30/99,10/22/14 5:11 PM,1,1,5103,0,0,1,4.99,1,4.99,219,,,0,GL_VA-20_102214.txt,VA-20,NULL,VA-20||5079||Oct 22 2014 12:00AM||Oct 22 2014  5:11PM
CDTL,1,2,5022,12/30/99,10/22/14 9:45 AM,1,1,4006,0,0,1,4.99,1,4.99,210,,,0,GL_VA-20_102214.txt,VA-20,NULL,VA-20||5022||Oct 22 2014 12:00AM||Oct 22 2014  9:45AM
CDTL,1,2,5023,12/30/99,10/22/14 9:47 AM,1,1,1016,0,0,1,4.79,1,4.79,210,,,0,GL_VA-20_102214.txt,VA-20,NULL,VA-20||5023||Oct 22 2014 12:00AM||Oct 22 2014  9:47AM
CDTL,1,2,5023,12/30/99,10/22/14 9:47 AM,1,1,2006,0,0,1,4.99,1,4.99,210,,,0,GL_VA-20_102214.txt,VA-20,NULL,VA-20||5023||Oct 22 2014 12:00AM||Oct 22 2014  9:47AM
CDTL,1,1,5058,12/30/99,10/22/14 3:12 PM,1,1,4516,0,0,1,4.99,1,4.99,210,,,0,GL_VA-20_102214.txt,VA-20,NULL,VA-20||5058||Oct 22 2014 12:00AM||Oct 22 2014  3:12PM
CDTL,1,1,5059,12/30/99,10/22/14 3:13 PM,1,1,1010,0,0,1,4.79,1,4.79,210,,,0,GL_VA-20_102214.txt,VA-20,NULL,VA-20||5059||Oct 22 2014 12:00AM||Oct 22 2014  3:13PM
CDTL,1,2,5093,12/30/99,10/22/14 6:32 PM,1,1,4004,0,0,1,4.99,1,4.99,219,,,0,GL_VA-20_102214.txt,VA-20,NULL,VA-20||5093||Oct 22 2014 12:00AM||Oct 22 2014  6:32PM
CDTL,1,1,5094,12/30/99,10/22/14 6:43 PM,1,1,100007,0,0,1,5.99,1,5.99,219,,,0,GL_VA-20_102214.txt,VA-20,NULL,VA-20||5094||Oct 22 2014 12:00AM||Oct 22 2014  6:43PM
CDTL,1,1,5094,12/30/99,10/22/14 6:43 PM,1,1,1016,0,0,1,4,1,4,219,,,0,GL_VA-20_102214.txt,VA-20,NULL,VA-20||5094||Oct 22 2014 12:00AM||Oct 22 2014  6:43PM
